"Carimbo de data/hora","Qual sua idade?","Qual o seu grau de escolaridade?","Qual seu estado civil?","O quanto te incomoda andar ao lado de pessoas fumando?","Você gosta de conversar com pessoas que conhece há pouco tempo?","Você gosta de andar acompanhado(a) de pessoas com animais de estimação?","Para você, o quão importante é o custo da viagem (considerando os gastos com meios de transporte)?","Para você, o quão importante é o tempo gasto na viagem (considerando caminhada e meios de transporte)?","Para você, o quão importante é o conforto da viagem?","Para você, o quão importante é a segurança da viagem?","Para você, o quão importante é a qualidade visual da viagem?","Com que frequência você utiliza os seguintes meios de transporte? [Trem]","Com que frequência você utiliza os seguintes meios de transporte? [Metrô]","Com que frequência você utiliza os seguintes meios de transporte? [Ônibus]","Com que frequência você utiliza os seguintes meios de transporte? [Caminhada]","Com que frequência você utiliza os seguintes meios de transporte? [Bicicleta]","Com que frequência você sai nos períodos indicados abaixo? [Manhã]","Com que frequência você sai nos períodos indicados abaixo? [Tarde]","Com que frequência você sai nos períodos indicados abaixo? [Noite]"
"2020/06/09 8:48:33 PM GMT-3","Até 17 anos","Ensino Médio completo","Solteiro(a)","3","2","5","3","4","4","4","2","Raramente","Raramente","4x por semana ou mais","2-3x por semana","Raramente","1x por semana","4x por semana ou mais","1x por semana"
"2020/06/09 8:49:02 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","5","4","3","3","5","4","Raramente","Raramente","Raramente","1x por semana","1x por semana","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 8:49:12 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","4","5","5","5","5","5","5","5","Raramente","Raramente","2-3x por semana","1x por semana","1x por semana","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/09 8:50:23 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","2","4","5","4","5","5","5","3","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","2-3x por semana","4x por semana ou mais","2-3x por semana"
"2020/06/09 8:52:40 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","3","3","3","5","5","3","3","5","Raramente","Raramente","1x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/09 8:54:21 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","3","3","5","5","5","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente"
"2020/06/09 8:57:04 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","4","3","1","3","5","4","3","4x por semana ou mais","4x por semana ou mais","1x por mês","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/09 8:57:32 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","3","3","4","5","4","5","5","4","Raramente","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 8:57:54 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","3","5","5","5","5","5","3","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/09 8:59:23 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","1","3","5","5","3","2","4","4","1x por mês","1x por mês","1x por mês","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por mês"
"2020/06/09 9:00:15 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Casado(a)","4","1","3","5","5","5","5","4","Raramente","Raramente","2-3x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/09 9:02:45 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","5","3","5","3","2","5","5","5","Raramente","Raramente","2-3x por semana","4x por semana ou mais","4x por semana ou mais","Raramente","2-3x por semana","1x por semana"
"2020/06/09 9:03:04 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","5","5","4","1","1","2","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 9:04:31 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","1","3","5","5","5","3","5","5","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 9:04:58 PM GMT-3","Até 17 anos","Ensino Fundamental ou menos","Solteiro(a)","2","3","3","5","2","4","5","1","Raramente","Raramente","2-3x por semana","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","Raramente"
"2020/06/09 9:07:39 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","5","4","5","5","5","3","5","3","1x por mês","Raramente","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","2-3x por semana"
"2020/06/09 9:09:54 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Casado(a)","5","4","4","4","4","4","5","4","Raramente","Raramente","Raramente","1x por mês","Raramente","Raramente","1x por mês","Raramente"
"2020/06/09 9:09:54 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","1","3","5","5","5","5","5","5","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 9:17:04 PM GMT-3","Até 17 anos","Ensino Médio completo","Solteiro(a)","4","3","5","5","4","4","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais"
"2020/06/09 9:19:09 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","2","3","5","5","5","5","5","1","Raramente","Raramente","1x por mês","4x por semana ou mais","1x por mês","Raramente","2-3x por semana","4x por semana ou mais"
"2020/06/09 9:28:29 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","2","4","5","4","3","5","5","4","Raramente","Raramente","4x por semana ou mais","2-3x por semana","1x por semana","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 9:33:34 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","4","3","2","5","5","3","5","4","Raramente","Raramente","Raramente","Raramente","Raramente","1x por semana","Raramente","1x por semana"
"2020/06/09 9:33:51 PM GMT-3","De 25 a 35 anos","Ensino Superior incompleto","Solteiro(a)","5","3","5","5","4","3","3","4","Raramente","Raramente","1x por mês","1x por semana","1x por semana","1x por semana","1x por semana","1x por semana"
